,E_daily
2002-01-01,
2002-01-02,
2002-01-03,
2002-01-04,13677.288255958467
2002-01-05,
2002-01-06,
2002-01-07,963.8290236239706
2002-01-08,1870.6821403658016
2002-01-09,1342.764961137864
2002-01-10,7046.9306896714525
2002-01-11,496.5923214503358
2002-01-12,1870.6821403658016
2002-01-13,963.8290236239706
2002-01-14,
2002-01-15,3630.7805477010174
2002-01-16,
2002-01-17,496.5923214503358
2002-01-18,3630.7805477010174
2002-01-19,
2002-01-20,
2002-01-21,
2002-01-22,
2002-01-23,
2002-01-24,496.5923214503358
2002-01-25,
2002-01-26,1870.6821403658016
2002-01-27,
2002-01-28,691.8309709189363
2002-01-29,
2002-01-30,691.8309709189363
2002-01-31,
2002-02-01,691.8309709189363
2002-02-02,963.8290236239706
2002-02-03,
2002-02-04,
2002-02-05,
2002-02-06,1342.764961137864
2002-02-07,
2002-02-08,1342.764961137864
2002-02-09,1870.6821403658016
2002-02-10,9817.479430199863
2002-02-11,94.6237161365793
2002-02-12,
2002-02-13,9817.479430199863
2002-02-14,183.65383433483436
2002-02-15,2606.1535499988977
2002-02-16,963.8290236239706
2002-02-17,255.8585886905653
2002-02-18,3630.7805477010174
2002-02-19,5058.246620031148
2002-02-20,356.4511334262439
2002-02-21,13677.288255958467
2002-02-22,2606.1535499988977
2002-02-23,3630.7805477010174
2002-02-24,963.8290236239706
2002-02-25,
2002-02-26,
2002-02-27,
2002-02-28,139315.6802945298
2002-03-01,
2002-03-02,1870.6821403658016
2002-03-03,
2002-03-04,963.8290236239706
2002-03-05,
2002-03-06,
2002-03-07,963.8290236239706
2002-03-08,
2002-03-09,1342.764961137864
2002-03-10,1342.764961137864
2002-03-11,963.8290236239706
2002-03-12,691.8309709189363
2002-03-13,691.8309709189363
2002-03-14,
2002-03-15,1870.6821403658016
2002-03-16,1342.764961137864
2002-03-17,
2002-03-18,
2002-03-19,
2002-03-20,3630.7805477010174
2002-03-21,356.4511334262439
2002-03-22,2606.1535499988977
2002-03-23,1419057.5216890955
2002-03-24,963.8290236239706
2002-03-25,2606.1535499988977
2002-03-26,3630.7805477010174
2002-03-27,
2002-03-28,1342.764961137864
2002-03-29,
2002-03-30,
2002-03-31,13677.288255958467
2002-04-01,
2002-04-02,3630.7805477010174
2002-04-03,
2002-04-04,691.8309709189363
2002-04-05,496.5923214503358
2002-04-06,51522.86445817562
2002-04-07,3630.7805477010174
2002-04-08,3630.7805477010174
2002-04-09,3630.7805477010174
2002-04-10,2606.1535499988977
2002-04-11,3630.7805477010174
2002-04-12,1342.764961137864
2002-04-13,1870.6821403658016
2002-04-14,3630.7805477010174
2002-04-15,963.8290236239706
2002-04-16,963.8290236239706
2002-04-17,963.8290236239706
2002-04-18,1342.764961137864
2002-04-19,963.8290236239706
2002-04-20,
2002-04-21,496.5923214503358
2002-04-22,
2002-04-23,9817.479430199863
2002-04-24,
2002-04-25,3630.7805477010174
2002-04-26,2606.1535499988977
2002-04-27,1342.764961137864
2002-04-28,
2002-04-29,2606.1535499988977
2002-04-30,496.5923214503358
2002-05-01,
2002-05-02,
2002-05-03,1342.764961137864
2002-05-04,5058.246620031148
2002-05-05,139315.6802945298
2002-05-06,
2002-05-07,963.8290236239706
2002-05-08,
2002-05-09,1342.764961137864
2002-05-10,496.5923214503358
2002-05-11,691.8309709189363
2002-05-12,2606.1535499988977
2002-05-13,691.8309709189363
2002-05-14,9817.479430199863
2002-05-15,
2002-05-16,1342.764961137864
2002-05-17,496.5923214503358
2002-05-18,5058.246620031148
2002-05-19,1870.6821403658016
2002-05-20,691.8309709189363
2002-05-21,2606.1535499988977
2002-05-22,
2002-05-23,7046.9306896714525
2002-05-24,5058.246620031148
2002-05-25,2606.1535499988977
2002-05-26,
2002-05-27,
2002-05-28,2606.1535499988977
2002-05-29,
2002-05-30,1870.6821403658016
2002-05-31,963.8290236239706
2002-06-01,
2002-06-02,
2002-06-03,1870.6821403658016
2002-06-04,963.8290236239706
2002-06-05,
2002-06-06,963.8290236239706
2002-06-07,356.4511334262439
2002-06-08,
2002-06-09,3630.7805477010174
2002-06-10,
2002-06-11,
2002-06-12,
2002-06-13,2606.1535499988977
2002-06-14,
2002-06-15,691.8309709189363
2002-06-16,
2002-06-17,5058.246620031148
2002-06-18,963.8290236239706
2002-06-19,1342.764961137864
2002-06-20,1342.764961137864
2002-06-21,13677.288255958467
2002-06-22,
2002-06-23,7046.9306896714525
2002-06-24,
2002-06-25,1870.6821403658016
2002-06-26,
2002-06-27,
2002-06-28,
2002-06-29,
2002-06-30,2606.1535499988977
2002-07-01,1870.6821403658016
2002-07-02,2606.1535499988977
2002-07-03,7046.9306896714525
2002-07-04,3630.7805477010174
2002-07-05,
2002-07-06,19054.607179632523
2002-07-07,9817.479430199863
2002-07-08,3630.7805477010174
2002-07-09,1870.6821403658016
2002-07-10,2606.1535499988977
2002-07-11,2606.1535499988977
